country,life_expectancy_female,life_expectancy_male,expected_schooling_female,expected_schooling_male,mean_schooling_female,mean_schooling_male,gni_female,gni_male,maternal_mortality_ratio,adolescent_birth_rate,parliament_seat_percentage,secondary_education_percentage_female,secondary_education_percentage_male,labor_force_participation_female,labor_force_participation_male
Solomon Islands,72,68.9,10.8,9.9,..,..,"2,173","2,777",104,60.3,8,..,..,83.1,87.4
Comoros,65.8,61.2,12.2,11.7,4,6,"2,014","4,260",273,58.2,16.7,..,..,32.1,54.5
Papua New Guinea,68.4,62.9,9.8,10.9,4.1,5.4,"3,543","4,445",145,55.3,0,10.8,15.5,46.3,48.1
Mauritania,66.1,62.7,9.6,9.2,4.6,5.3,"2,604","7,650",766,78,20.3,14.5,21.9,27.4,62.2
Côte d'Ivoire,59.9,57.4,10,11.3,4.7,5.7,"3,763","6,643",617,105,15.6,23.9,32.2,45.9,64.9
Tanzania (United Republic of),68.3,64.2,9.3,9.1,5.9,6.9,"2,247","3,092",524,123.7,36.9,13,19.1,79.5,87.1
Pakistan,68.6,63.8,8.1,9.2,3.9,5,"1,569","7,620",140,42.3,19.9,22.1,28.7,20.7,78.1
Togo,62.4,60.8,12.2,14.3,3.4,6.8,"1,885","2,446",396,77.9,18.7,13.9,42.3,55.5,59.4
Haiti,66.1,60.4,9,10.4,4.6,6.8,"2,408","3,295",480,52.5,2.7,27.9,41,60.7,68.9
Nigeria,53.1,52.3,9.6,10.8,6.1,8.2,"3,759","5,800",917,101.7,4.5,40.4,55.3,47.9,59.6
Rwanda,68.2,63.8,11.2,11.2,4,4.9,"1,990","2,440",248,32.4,55.7,11.4,16.3,82.5,82.2
Benin,61.4,58.2,9.9,11.6,3.3,5.4,"2,998","3,819",397,92.3,8.4,21.1,34.4,69.3,72.6
Uganda,64.9,60.4,10.2,10.1,4.9,6.7,"1,877","2,492",375,107.9,33.8,29.3,36.3,64.2,71.3
Lesotho,55.9,50.4,12.4,11.7,6.6,6,"2,107","3,310",544,89.6,22.9,27.2,24.6,56.1,71.3
Malawi,66.5,59.5,12.8,12.5,4.1,4.7,"1,232","1,713",349,117.9,22.9,21.3,28.4,71.6,80
